,qty,total_price,freight_price,unit_price,product_name_lenght,product_description_lenght,product_photos_qty,product_weight_g,product_score,customers,weekday,weekend,holiday,month,year,s,volume,comp_1,ps1,fp1,comp_2,ps2,fp2,comp_3,ps3,fp3,lag_price
weekday,0.030918073124108665,0.018797529470679284,-0.01613168030586496,-0.011948767757185159,0.023797225436450263,-0.019320213480231586,0.02231070311739905,-0.02996034276100833,0.0031206819275923386,0.029809631352340604,1.0,-0.5094780549227448,0.15910461179564006,0.02567178603116452,0.05515843186408443,-0.00999321080454373,-0.009178621492225186,-0.03705945062215808,-0.021012706441108833,-0.0467756748138155,-0.022417930364931303,-0.0087110127759287,-0.042262231913715365,-0.025142111446382908,0.005904425471232782,-0.051907254910231765,-0.013547213634922844
weekend,-0.07511832925594278,-0.053788393947927095,0.030275002483862834,-4.184645867017764e-05,-0.018182777188691726,-0.012464657789516604,0.008326351096152146,0.011308503309144588,-0.010395846552741986,-0.11180555920136896,-0.5094780549227448,1.0,-0.4216639461887654,0.3317097063170279,-0.22557762312043883,-0.019291246904435524,0.02201527619288692,0.030056720251437206,0.0006382821320123435,0.05872276056461063,0.021674561643264447,-0.011823199816981206,0.04657131963818544,0.009104549921924368,-0.0037943289687008153,-0.02988020272635848,-0.007306710456689135
holiday,0.21160980198074636,0.13655786088690697,-0.08151783501070312,0.01257253072643915,-0.014317016593686243,0.018341593030264943,-0.008898353368854516,-0.0032655249947481668,-0.009899091909070212,0.31025398212787136,0.15910461179564006,-0.4216639461887654,1.0,0.09022678238223802,-0.12735121802932647,0.2907858531282046,0.006065889535039061,-0.002968707994890002,-0.000804552069255498,-0.13852184726975647,-0.040416777853482556,-0.0475656089545508,-0.13466709395508641,0.04493868720433648,-0.0033203458617562394,-0.0816397874035911,0.021119242148810585
month,-0.0051292249400537206,-0.029917507765308174,-0.028336339062725212,-0.004249402766625412,-0.004249868439297376,-0.02956086800011947,0.04172796387691226,-0.011176170593278871,-0.004951816676052373,-0.02285182253774226,0.02567178603116452,0.3317097063170279,0.09022678238223802,1.0,-0.616283074769528,0.11509005085377043,0.01495736645066061,-0.03651717682689879,0.02917080292557672,0.01207924277223926,-0.011095864860319282,-0.0583274289694185,0.017296533044257253,0.041765836104005555,-0.013057605701152178,-0.04739883577503005,-0.00819537747028756
year,0.058562353422297306,0.0821396166526061,0.07659502256847184,-0.06807221867048364,-0.03547938432101948,0.030949026623713308,0.03360189049812337,-0.1083607623920433,-0.053069627956126186,0.21827165230765735,0.05515843186408443,-0.22557762312043883,-0.12735121802932647,-0.616283074769528,1.0,-0.0770094148104868,-0.09010710157114453,-0.061579564966378376,0.01922839737620432,0.015442966734952112,-0.18769025686167187,0.003579185399855836,0.07743204693751803,-0.13965475657463197,-0.07287915383241189,-0.03238534654775452,-0.06110935236088717
s,0.4110012611222994,0.33450015992234045,-0.10935936635317074,-0.016551672743142294,-0.08082973553121611,0.001335372431781577,0.08379944685515364,-0.050676403702979295,-0.051635886168216,0.21438328870815512,-0.00999321080454373,-0.019291246904435524,0.2907858531282046,0.11509005085377043,-0.0770094148104868,1.0,-0.0543836310920538,0.05807539933904149,0.0172182521925467,-0.04096730293946025,0.01672601286971526,-0.04564421526321365,-0.12113968861301531,0.020775192616720155,-0.008996054210564472,-0.064855070306062,-0.0029928457356247994
volume,0.04982742004706431,-0.08872591147874083,0.12209693405365495,-0.1972331861547408,0.3294761569303248,-0.14157982530969895,-0.15353799620554143,0.2519662263944513,0.1178870102765888,0.0416412471735867,-0.009178621492225186,0.02201527619288692,0.006065889535039061,0.01495736645066061,-0.09010710157114453,-0.0543836310920538,1.0,-0.14686391536277082,-0.34583661118050446,-0.05750590723422075,-0.23376809491806982,0.024044987709033672,0.11398518423534465,-0.3123947797104338,0.42860325438308494,0.1066506726846528,-0.20009092850870197
comp_1,-0.033570215101854255,0.1444261834960807,-0.01396916024923299,0.3171127994243645,-0.34412467715559353,-0.004371196979572895,-0.04539776533836169,0.06432978792358134,-0.21528388724740488,-0.177735227935055,-0.03705945062215808,0.030056720251437206,-0.002968707994890002,-0.03651717682689879,-0.061579564966378376,0.05807539933904149,-0.14686391536277082,1.0,-0.1872966807697111,0.40117652210645066,0.5328594116375663,0.04091745363824368,0.2534164953816754,0.6504329493597001,-0.27281584055549163,0.16933116084838612,0.3223480303732993
ps1,-0.04788262179592284,0.05894056872144424,-0.05392677736093694,0.1974250662253891,0.019053408943010525,0.1886013656093202,-0.005676605580270962,-0.24186139364279524,0.29774608165028105,0.07731447560941006,-0.021012706441108833,0.0006382821320123435,-0.000804552069255498,0.02917080292557672,0.01922839737620432,0.0172182521925467,-0.34583661118050446,-0.1872966807697111,1.0,-0.031973313992200436,0.16247505446024726,0.28356989835286167,-0.02712815850452529,0.13650617594484102,-0.09987353197208436,-0.058961720580724436,0.19480469097892544
fp1,-0.05347744101765038,-0.00672939261688552,0.30647862125493264,-0.004517515383451282,-0.07938820708640817,0.03177065273402526,-0.194512125046716,0.13838358456823469,-0.11761278224296048,-0.20401211113749915,-0.0467756748138155,0.05872276056461063,-0.13852184726975647,0.01207924277223926,0.015442966734952112,-0.04096730293946025,-0.05750590723422075,0.40117652210645066,-0.031973313992200436,1.0,0.21264573996637498,0.08981871283830131,0.5986364528665874,0.0284882492788041,-0.28210427135056215,0.2837747075595003,-0.0014156304912604724
